Id,Country,City,Year,Distance,Currencies,CreationDate
10,France,Paris,428742153,284644936,EUR;USD,2015/08/12
11,Germany,Berlin,1432651434,1336594394,EUR;USD;HUF,2015/08/12
12,Romania,Pitesti,-703641632,1991098847,EUR;USD,2015/08/12
13,Romania,Cluj,1449587481,1342702539,EUR;USD;CHF;HUF,2015/08/12
14,France,Paris Mare,1849698779,1183369355,EUR,2015/08/12
15,Germany,Berlin,1449963542,-1537026713,EUR,2015/08/12
16,Romania,Constanta,1487087949,-1785734546,USD,2015/08/12
17,France,Paris Mare,-2036885934,1199522331,EUR;USD;HUF,2015/08/12
18,France,Paris Mare,339385178,1838465988,CHF,2015/08/12
19,Germany,Berlin,185962293,-905834590,CHF,2015/08/12
